null,name,image,Salty,Savory,Sour,Bitter,Sweet,Spicy,materials
,커피샹그리아,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/01/8529126f94082ec8e1a9c024d85f834a1_m.jpg,17,17,17,17,83,0,"사과 1/4개,  배 1/4개,  오렌지 1개,  레몬(또는 레몬주스) 1/2개,  머루포도 7~8알,  자두 1개,  화이트와인 300ml,  사이다 500ml,  백설탕 3T,  커피 150ml,  얼음 약간"
,체리블러썸,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/04/3b3da4327cc7a868e88ec184e90d04c81_m.jpg,17,17,17,17,83,0,"일본술 50ml [양념] 자몽주스 100ml,  스프라이트 350ml"
,Kahlua Milk,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/04/5b1c93d25b9ababa0884b55249794b7b1_m.jpg,17,17,17,83,17,0,"에스프레소 60ml,  우유 100ml,  깔루아 2큰술(30ml),  얼음 6조각,  시나몬가루(없으면생략)"
,Mojito,https://recipe1.ezmember.co.kr/cache/recipe/2019/08/09/612e672194ee884d69e93a6da091d3c61_m.jpg,17,17,17,17,0,0,"라임 1개,  럼,  애플민트 2줌,  설탕 1스푼,  탄산수,  얼음"
,소주 모히또,https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/0d298bf5640d96d9cfc2fb40364ea0721_m.jpg,0,0,0,0,50,0,"라임 1~2개,  시럽 또는 꿀 2~3큰술,  바질잎 15~20장,  소금 1꼬집,  소주 1병"
,망고아일랜드,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/06/311e29d4959467f7fa1cd84d7ba4bbfa1_m.jpg,17,17,17,17,83,0,"망고시럽 15ml,  망고주스 20ml,  스위트&샤워믹스 20ml,  클럽소다 Fill 적당량,  블루큐라소 1T"
,인삼칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2016/12/16/1c6b6290493ff8a274e38a0771657ded1_m.jpg,17,0,17,50,17,50,"인삼 2뿌리,  파프리카(3색) 1/4개씩,  체리토마토 10알,  체리 4~5개,  키위 1개,  블루베리 10알,  진 1/2온즈,  우유 2온즈"
,허밍 플라워,https://recipe1.ezmember.co.kr/cache/recipe/2017/01/10/c86276205bf0a54753cae7807dceaafb1_m.jpg,0,0,50,17,67,0,"립톤 클래식 얼그레이 60ml,  레몬 주스 300ml,  라벤더 시럽 30ml,  로즈 시럽 20ml"
,자몽소주 칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2017/02/18/0947bbeea8d2a1339069c26d1f6eb4431_m.jpg,0,0,0,0,50,0,"자몽소주 2소주잔,  토닉 !장미토닉이 없음 일반토닉가능 2병 x200ml,  자몽 1개,  얼음,  말린 자몽 또는 오렌지 2슬라이스,  칵테일용 빨대 2개,  칵테일용수저 1개"
,Non Alchol Mojito,https://recipe1.ezmember.co.kr/cache/recipe/2019/08/09/612e672194ee884d69e93a6da091d3c61_m.jpg,17,17,17,17,83,0,"레몬시럽 4큰술,  민트잎 7장,  라임 슬라이스 4쪽,  사이다 200ml,  얼음 1컵"
