null,name,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료,index,sex
,1000억막걸리프리바이오,3,4,3,3,5,0,탁주,750ml,3500,(주)국순당,"쌀,밀,누룩,정제수",0,5
,1000억유산균막걸리,3,5,5,3,5,0,탁주,750ml,3200,(주)국순당,"쌀,밀,누룩,정제수",1,5
,1932새싹땅콩햅쌀막걸리,2,2,3,5,6,0,탁주,900ml,15000,(주)1932포천일동막걸리,"쌀,땅콩농축액,입국,효모,고과당,정제효소제,정제수",2,5
,1932새싹땅콩흑미막걸리,3,1,1,4,6,0,탁주,900ml,15000,(주)1932포천일동막걸리,"쌀,흑미,땅콩농축액,입국,효모,고과당,정제효소제,정제수",3,5
,33JU,3,,,1,18,0,증류주,200ml,23000,농업회사법인33가주식회사,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",4,5
,52C,3,,,2,17.5,0,증류주,500ml,10000,농업회사법인(주)청산녹수,"정제수,주정,쌀증류식소주원액,오이",5,5
,DMZ240km,2,,,3,25,0,기타주류,450ml,10000,솔래원,"자연송이버섯,브랜디원액,블랙커런트,벌꿀",6,5
,g12골디락스,2,2,2,3,12,0,탁주,500ml,12000,농업회사법인(주)청산녹수,"정제수,멥쌀,찹쌀,누룩,종국,효모,밀함유",7,5
,The찾을수록시리즈,4,2,3,2,16,0,과실주,360ml,9000,(주)한국애플리즈,"사과와인,정제수,정제주정외제품별농축액",8,5
,가덕순쌀막걸리,3,3,3,3,6,1,탁주,750ml,13500,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",9,5
,가을빛레드와인,2,3,3,2,14,0,과실주,750ml,35000,예인화원,포도,10,5
,가평잣생막걸리,2,2,3,3,6,0,탁주,750ml,1450,가평우리술,"쌀,정제수,쌀입국,잣,효모,정제효소등",11,5
,감그린레귤러,3,3,3,2,12,0,과실주,750ml,18000,청도감와인(주),감,12,5
,감그린스페셜,3,3,3,3,12,0,과실주,750ml,25000,청도감와인(주),감,13,5
,감그린아이스와인,4,2,2,4,10,0,과실주,375ml,89000,청도감와인(주),감,14,5
,감보드카,,,,3,32,0,증류주,375ml,14000,양촌감영농조합법인,감,15,5
,감사,2,2,,2,14,0,"약주,청주",375ml,15000,술샘,"쌀,누룩,정제수",16,5
,감아락25,2,,,2,25,0,증류주,500ml,26000,(주)배상면주가,"감증류원액,쌀",17,5
,감악산머루주,4,4,3,3,12,0,과실주,360ml,28000,산머루농원영농조합법인,"국내산산머루원액,주정",18,5
,감이슬,,,,2,23,0,증류주,375ml,10000,양촌감영농조합법인,감,19,5
,감자술13,3,2,3,2,13,0,"약주,청주",700ml,14000,오대서주양조,"백미,감자,누룩,효모,정제수",20,5
,감홍로백자,3,,,4,40,0,증류주,700ml,75000,농업회사법인(주)감홍로,"쌀,조,가지약재",21,5
,감홍로청자,3,,,4,40,0,증류주,700ml,90000,농업회사법인(주)감홍로,"쌀,조,가지약재",22,5
,강소주,,,,3,50,0,증류주,"1,800ml",11000,내국양조,"국내산쌀,정제수",23,5
,강쇠,2,2,1,4,13,0,"약주,청주",370ml,2500,농업회사법인(유)술소리,"쌀,누룩,오가피",24,5
,걍즐겨,3,4,3,3,8,0,탁주,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,석류,히비스커스,정제수",25,5
,겨울소주25,,,,4,25,0,증류주,360ml,10000,두이술공방,"증류원액,효모,효소,정제수",26,5
,경기전,2,3,4,2,5,0,기타주류,1000ml,27000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수",27,5
,계룡백일주12년,3,,,4,40,0,기타주류,600ml,150000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",28,5
,계룡백일주16,1,1,1,1,16,0,"약주,청주",700ml,18500,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",29,5
,계룡백일주30,2,,,3,30,0,기타주류,400ml,20000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",30,5
,계룡백일주40,3,,,3,40,0,기타주류,600ml,40000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",31,5
,계룡산산삼주금수강산21,,,,2,21,0,증류주,740ml,110000,농업회사법인한국산삼(주),"산양산삼,정제주,주정",32,5
,계룡산산삼주금수강산40,,,,3,40,0,증류주,740ml,150000,농업회사법인한국산삼(주),"산양산삼,정제주,주정",33,5
,고구마아락,2,,,3,40,0,증류주,500ml,25000,농업회사법인배상면주가고창LB,"보리,고구마,정제수",34,5
,고도리레드와인스위트,3,3,2,3,12,0,과실주,750ml,22000,고도리와이너리,MBA머루포도,35,5
,고도리복숭아와인,4,3,3,2,6.5,0,과실주,750ml,32000,고도리와이너리,복숭아,36,5
,고도리화이트와인드라이,2,3,3,2,10.5,0,과실주,750ml,22000,고도리와이너리,거봉포도,37,5
,고도리화이트와인스위트,4,3,3,2,10.5,0,과실주,750ml,22000,고도리와이너리,거봉포도,38,5
,고소리술,2,0,3,3,40,0,증류주,375ml,25000,제주샘영농조합법인,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",39,5
,고운달백자,,,,5,52,0,증류주,200ml,"180,000",농업회사법인(주)제이엘,오미자,40,5
,고운달오크,,,,5,52,0,증류주,200ml,"180,000",농업회사법인(주)제이엘,오미자,41,5
,고창선운산땡큐복분자주,3,1,3,2,13,0,과실주,300ml,2500,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",42,5
,고창선운산땡큐블루베리주,2,2,2,2,13,0,과실주,300ml,2000,농업회사법인고창선운산(유),"블루베리과실,주정,효모,구연산,정제수",43,5
,고창선운산복분자주특1호,3,1,3,2,15,0,과실주,"1,800ml",27000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",44,5
,공주애오디와인,3,2,3,1,15,0,과실주,375ml,6000,농업회사법인사곡양조원,"국내산오디,정제수,주정,과당,효모",45,5
,구기홍주14,3,1,2,3,14,0,"약주,청주",360ml,10000,두이술공방,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",46,5
,구름을벗삼아,3,3,3,3,6,1,탁주,750ml,1500,문경주조,"정제수,찹쌀·백미,입국등",47,5
,귀감,,,,3,25,0,증류주,350ml,25000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,스테비올배당체,무수아황산",48,5
,그랑꼬또레드와인,3,3,3,2,12,0,과실주,750ml,35000,그린영농조합법인,포도,49,5
,그랑꼬또M56,2,3,1,3,12,0,과실주,750ml,21000,그린영농조합법인,포도,50,5
,그랑꼬또M5610,4,3,3,2,10,0,과실주,750ml,56000,그린영농조합법인,포도,51,5
,그랑꼬또로제와인,2,3,1,3,12,0,과실주,750ml,21000,그린영농조합법인,포도,52,5
,그랑꼬또청수,2,1,3,4,12,0,과실주,750ml,60000,그린영농조합법인,포도,53,5
,그랑꼬또화이트와인,3,3,3,2,12,0,과실주,750ml,40000,그린영농조합법인,포도,54,5
,그랑티그르CE2002,3,2,2,3,12,0,과실주,750ml,40000,월류원(오드린),포도,55,5
,그랑티그르M1988,3,3,2,3,12,0,과실주,750ml,40000,월류원(오드린),"포도,오미자",56,5
,그랑티그르S1974,1,3,2,4,12,0,과실주,750ml,40000,월류원,포도,57,5
,금산인삼주,1,4,2,4,12.5,0,"약주,청주",375ml,4000,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등",58,5
